Растение (RU)	Растение (Latin)	Ассоциированная бактерия	Род бактерии	Тип связи в базе	Источник данных
Горох	Pisum sativum	Bacillus cereus	Bacillus	hostOf	GloBI Database
Горох	Pisum sativum	Bacillus megaterium	Bacillus	hostOf	GloBI Database
Горох	Pisum sativum	Bradyrhizobium elkanii	Bradyrhizobium	hostOf	GloBI Database
Горох	Pisum sativum	Bradyrhizobium japonicum	Bradyrhizobium	hostOf	GloBI Database
Горох	Pisum sativum	Enterobacter cloacae	Enterobacter	hostOf	GloBI Database
Горох	Pisum sativum	Pantoea agglomerans	Pantoea	hostOf	GloBI Database
Горох	Pisum sativum	Pseudomonas aeruginosa	Pseudomonas	hostOf	GloBI Database
Горох	Pisum sativum	Pseudomonas chlororaphis	Pseudomonas	hostOf	GloBI Database
Горох	Pisum sativum	Pseudomonas fluorescens	Pseudomonas	hostOf	GloBI Database
Горох	Pisum sativum	Pseudomonas mandelii	Pseudomonas	hostOf	GloBI Database
Горох	Pisum sativum	Pseudomonas putida	Pseudomonas	hostOf	GloBI Database
Горох	Pisum sativum	Pseudomonas synxantha	Pseudomonas	hostOf	GloBI Database
Горох	Pisum sativum	Pseudomonas syringae	Pseudomonas	hostOf	GloBI Database
Горох	Pisum sativum	Pseudomonas viridiflava	Pseudomonas	hostOf	GloBI Database
Горох	Pisum sativum	Rhizobium giardinii	Rhizobium	hostOf	GloBI Database
Горох	Pisum sativum	Rhizobium leguminosarum	Rhizobium	hostOf	GloBI Database
Горох	Pisum sativum	Rhizobium pisi	Rhizobium	hostOf	GloBI Database
Горох	Pisum sativum	Serratia marcescens	Serratia	hostOf	GloBI Database
Картофель	Solanum tuberosum	Azotobacter vinelandii	Azotobacter	hasHost	GloBI Database
Картофель	Solanum tuberosum	Bacillus pumilus	Bacillus	hasHost	GloBI Database
Картофель	Solanum tuberosum	Bacillus subtilis	Bacillus	hasHost	GloBI Database
Картофель	Solanum tuberosum	Burkholderia tropica	Burkholderia	hasHost	GloBI Database
Картофель	Solanum tuberosum	Burkholderia xenovorans	Burkholderia	hasHost	GloBI Database
Картофель	Solanum tuberosum	Pantoea agglomerans	Pantoea	hasHost	GloBI Database
Картофель	Solanum tuberosum	Pseudomonas corrugata	Pseudomonas	interactsWith	GloBI Database
Картофель	Solanum tuberosum	Pseudomonas iodinum	Pseudomonas	hostOf	GloBI Database
Картофель	Solanum tuberosum	Pseudomonas putida	Pseudomonas	hasHost	GloBI Database
Картофель	Solanum tuberosum	Pseudomonas syringae	Pseudomonas	interactsWith	GloBI Database
Картофель	Solanum tuberosum	Pseudomonas syringae pv. tomato	Pseudomonas	hasHost	GloBI Database
Картофель	Solanum tuberosum	Pseudomonas vesicatoria	Pseudomonas	hasPathogen	GloBI Database
Картофель	Solanum tuberosum	Pseudomonas viridiflava	Pseudomonas	hasHost	GloBI Database
Картофель	Solanum tuberosum	Serratia rubidaea	Serratia	hasHost	GloBI Database
Картофель	Solanum tuberosum	Streptomyces griseus	Streptomyces	hasHost	GloBI Database
Подсолнечник	Helianthus annuus	Pseudomonas syringae	Pseudomonas	pathogenOf	GloBI Database
Пшеница	Triticum aestivum	Azospirillum brasilense	Azospirillum	hostOf	GloBI Database
Пшеница	Triticum aestivum	Azospirillum lipoferum	Azospirillum	hostOf	GloBI Database
Пшеница	Triticum aestivum	Azospirillum zeae	Azospirillum	hostOf	GloBI Database
Пшеница	Triticum aestivum	Bacillus cereus	Bacillus	hostOf	GloBI Database
Пшеница	Triticum aestivum	Bacillus coagulans	Bacillus	hostOf	GloBI Database
Пшеница	Triticum aestivum	Bacillus megaterium	Bacillus	hostOf	GloBI Database
Пшеница	Triticum aestivum	Pseudomonas aeruginosa	Pseudomonas	hostOf	GloBI Database
Пшеница	Triticum aestivum	Pseudomonas atrofaciens	Pseudomonas	hostOf	GloBI Database
Пшеница	Triticum aestivum	Pseudomonas cedrina	Pseudomonas	hostOf	GloBI Database
Пшеница	Triticum aestivum	Pseudomonas fluorescens	Pseudomonas	hostOf	GloBI Database
Пшеница	Triticum aestivum	Pseudomonas putida	Pseudomonas	hostOf	GloBI Database
Пшеница	Triticum aestivum	Pseudomonas stutzeri	Pseudomonas	hostOf	GloBI Database
Пшеница	Triticum aestivum	Pseudomonas syringae	Pseudomonas	hostOf	GloBI Database
Пшеница	Triticum aestivum	Streptomyces carpinensis	Streptomyces	hostOf	GloBI Database
Пшеница	Triticum aestivum	Streptomyces rochei	Streptomyces	hostOf	GloBI Database
Пшеница	Triticum aestivum	Streptomyces thermolilacinus	Streptomyces	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus amyloliquefaciens	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus anthracis	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus aryabhattai	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus barbaricus	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus cereus	Bacillus	hasHost	GloBI Database
Рис	Oryza sativa	Bacillus drentensis	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus koreensis	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus megaterium	Bacillus	hasHost	GloBI Database
Рис	Oryza sativa	Bacillus nealsonii	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus niacini	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus pichinotyi	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus pumilus	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus subtilis	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Bacillus thuringiensis	Bacillus	hostOf	GloBI Database
Рис	Oryza sativa	Burkholderia cenocepacia	Burkholderia	hostOf	GloBI Database
Рис	Oryza sativa	Burkholderia cepacia	Burkholderia	hostOf	GloBI Database
Рис	Oryza sativa	Burkholderia gladioli	Burkholderia	hostOf	GloBI Database
Рис	Oryza sativa	Burkholderia ubonensis	Burkholderia	hostOf	GloBI Database
Рис	Oryza sativa	Burkholderia vietnamiensis	Burkholderia	hostOf	GloBI Database
Рис	Oryza sativa	Enterobacter hormaechei	Enterobacter	hostOf	GloBI Database
Рис	Oryza sativa	Enterobacter radicincitans	Enterobacter	hostOf	GloBI Database
Рис	Oryza sativa	Klebsiella pneumoniae	Klebsiella	hostOf	GloBI Database
Рис	Oryza sativa	Pantoea agglomerans	Pantoea	hostOf	GloBI Database
Рис	Oryza sativa	Pantoea ananatis	Pantoea	hostOf	GloBI Database
Рис	Oryza sativa	Pantoea dispersa	Pantoea	hostOf	GloBI Database
Рис	Oryza sativa	Pseudomonas aeruginosa	Pseudomonas	hasHost	GloBI Database
Рис	Oryza sativa	Pseudomonas fluorescens	Pseudomonas	hasHost	GloBI Database
Рис	Oryza sativa	Pseudomonas fuscovaginae	Pseudomonas	hostOf	GloBI Database
Рис	Oryza sativa	Pseudomonas mosselii	Pseudomonas	hostOf	GloBI Database
Рис	Oryza sativa	Pseudomonas oryzae	Pseudomonas	hostOf	GloBI Database
Рис	Oryza sativa	Pseudomonas plecoglossicida	Pseudomonas	hostOf	GloBI Database
