source	plant	plant_latin	bacterium	genus	evidence_type	evidence_score	condition	mechanism	reference	description
BacDive	pea		Azospirillum agricola	Azospirillum	database	1.0			140877	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Azospirillum doebereinerae	Azospirillum	database	1.0			13996	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Azospirillum palustre	Azospirillum	database	1.0			166212	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Azospirillum ramasamyi	Azospirillum	database	1.0			166472	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Azospirillum thermophilum	Azospirillum	database	1.0			167820	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus albus	Bacillus	database	1.0			140963	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus anthracis	Bacillus	database	1.0			168990	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus arachidis	Bacillus	database	1.0			170449	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus atrophaeus	Bacillus	database	1.0			1079	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus atrophaeus	Bacillus	database	1.0			1078	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus atrophaeus	Bacillus	database	1.0			1074	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus atrophaeus	Bacillus	database	1.0			22920	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus capparidis	Bacillus	database	1.0			133067	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus cereus	Bacillus	database	1.0			639	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus cereus	Bacillus	database	1.0			638	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus cereus	Bacillus	database	1.0			637	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus cereus	Bacillus	database	1.0			636	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus cereus	Bacillus	database	1.0			626	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus cereus	Bacillus	database	1.0			608	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus cereus	Bacillus	database	1.0			22911	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus cereus	Bacillus	database	1.0			130857	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
