strain_id,strain_name,genus,species,taxonomy_confidence,source,is_spore_former,isolation_source,host_plant,region,genome_accession,notes
PBM001,Azospirillum isscasi BD-101,Azospirillum,isscasi,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,GCF_030849505.1,extracted from bacdive dataset dsmz id 175857; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_isscasi__GCF_030849505.1; n_proteins=5816
PBM002,Azospirillum thermophilum BD-102,Azospirillum,thermophilum,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,GCF_003130795.1,extracted from bacdive dataset dsmz id 167820; formulation=soil drench or in-furrow application; matched_prodigal_genome=azospirillum_thermophilum__GCF_003130795.1; n_proteins=6226
PBM003,Azospirillum baldaniorum BD-103,Azospirillum,baldaniorum,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_003119195.2,extracted from bacdive dataset dsmz id 167292; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_baldaniorum__GCF_003119195.2; n_proteins=6834
PBM004,Azospirillum sp. BD-104,Azospirillum,sp.,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 161536; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM005,Azospirillum sp. BD-105,Azospirillum,sp.,0.95,BacDive-derived plant-associated strain table,False,soil,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 161518; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM006,Azospirillum sp. BD-106,Azospirillum,sp.,0.95,BacDive-derived plant-associated strain table,False,soil,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 161517; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM007,Azospirillum brasilense BD-107,Azospirillum,brasilense,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_007827425.1,extracted from bacdive dataset dsmz id 146216; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_brasilense__GCF_007827425.1; n_proteins=6290
PBM008,Azospirillum brasilense BD-108,Azospirillum,brasilense,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,tobacco,unknown,GCF_007827425.1,extracted from bacdive dataset dsmz id 138933; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_brasilense__GCF_007827425.1; n_proteins=6290
PBM009,Azospirillum lipoferum BD-109,Azospirillum,lipoferum,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_008364955.1,extracted from bacdive dataset dsmz id 137718; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_lipoferum__GCF_008364955.1; n_proteins=7050
PBM010,Azospirillum zeae BD-110,Azospirillum,zeae,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 134266; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM011,Azospirillum canadense BD-111,Azospirillum,canadense,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_025961225.1,extracted from bacdive dataset dsmz id 134232; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_canadense__GCF_025961225.1; n_proteins=8791
PBM012,Azospirillum melinis BD-112,Azospirillum,melinis,0.95,BacDive-derived plant-associated strain table,False,plant_associated,wheat,unknown,GCF_013340935.1,extracted from bacdive dataset dsmz id 134169; formulation=universal bioinoculant candidate; matched_prodigal_genome=azospirillum_melinis__GCF_013340935.1; n_proteins=7076
PBM013,Azospirillum oryzae BD-113,Azospirillum,oryzae,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,GCF_013347285.1,extracted from bacdive dataset dsmz id 134118; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_oryzae__GCF_013347285.1; n_proteins=6019
PBM014,Azospirillum thiophilum BD-114,Azospirillum,thiophilum,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_001305595.1,extracted from bacdive dataset dsmz id 14000; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_thiophilum__GCF_001305595.1; n_proteins=6629
PBM015,Azospirillum picis BD-115,Azospirillum,picis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_030814895.1,extracted from bacdive dataset dsmz id 13999; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_picis__GCF_030814895.1; n_proteins=6224
PBM016,Azospirillum rugosum BD-116,Azospirillum,rugosum,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_030814845.1,extracted from bacdive dataset dsmz id 13998; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_rugosum__GCF_030814845.1; n_proteins=6775
PBM017,Azospirillum largimobile BD-117,Azospirillum,largimobile,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_977007025.2,extracted from bacdive dataset dsmz id 13984; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_largimobile__GCF_977007025.2; n_proteins=5923
PBM018,Azospirillum largimobile BD-118,Azospirillum,largimobile,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_977007025.2,extracted from bacdive dataset dsmz id 13983; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_largimobile__GCF_977007025.2; n_proteins=5923
PBM019,Azospirillum brasilense BD-119,Azospirillum,brasilense,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_007827425.1,extracted from bacdive dataset dsmz id 13980; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_brasilense__GCF_007827425.1; n_proteins=6290
PBM020,Azospirillum brasilense BD-120,Azospirillum,brasilense,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_007827425.1,extracted from bacdive dataset dsmz id 13973; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_brasilense__GCF_007827425.1; n_proteins=6290
PBM021,Azospirillum brasilense BD-121,Azospirillum,brasilense,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_007827425.1,extracted from bacdive dataset dsmz id 13972; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_brasilense__GCF_007827425.1; n_proteins=6290
PBM022,Pseudomonas fluorescens BD-122,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12853; formulation=universal bioinoculant candidate; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM023,Pseudomonas fluorescens BD-123,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,soil,rye,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12852; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM024,Pseudomonas fluorescens BD-124,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12851; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM025,Pseudomonas fluorescens BD-125,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,soybean,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12846; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM026,Pseudomonas fluorescens BD-126,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,soybean,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12845; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM027,Pseudomonas fluorescens BD-127,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12844; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM028,Pseudomonas fluorescens BD-128,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12835; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM029,Pseudomonas fluorescens BD-129,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12834; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM030,Pseudomonas fluorescens BD-130,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 12833; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM031,Pseudomonas citronellolis BD-131,Pseudomonas,citronellolis,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,GCF_001586155.1,extracted from bacdive dataset dsmz id 12821; formulation=universal bioinoculant candidate; matched_prodigal_genome=pseudomonas_citronellolis__GCF_001586155.1; n_proteins=6083
PBM032,Pseudomonas cichorii BD-132,Pseudomonas,cichorii,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,tomato,unknown,GCF_018343775.1,extracted from bacdive dataset dsmz id 12817; formulation=foliar spray formulation candidate; matched_prodigal_genome=pseudomonas_cichorii__GCF_018343775.1; n_proteins=5085
PBM033,Pseudomonas aureofaciens BD-133,Pseudomonas,aureofaciens,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,potato,unknown,not_matched,extracted from bacdive dataset dsmz id 12816; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM034,Pseudomonas alcaligenes BD-134,Pseudomonas,alcaligenes,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_001597285.1,extracted from bacdive dataset dsmz id 12807; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_alcaligenes__GCF_001597285.1; n_proteins=4029
PBM035,Pseudomonas aeruginosa BD-135,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rye,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 12801; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM036,Pseudomonas aeruginosa BD-136,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 12800; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM037,Pseudomonas aeruginosa BD-137,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,sunflower,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 12795; formulation=foliar spray formulation candidate; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM038,Pseudomonas aeruginosa BD-138,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 12784; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM039,Pseudomonas aeruginosa BD-139,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,soil,wheat,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 12768; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM040,Pseudomonas aeruginosa BD-140,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,soybean,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 12764; formulation=foliar spray formulation candidate; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM041,Pseudomonas aeruginosa BD-141,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,tomato,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 12760; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM042,Pseudomonas aeruginosa BD-142,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 12759; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
